Асуулт,link,зөв хариулт,Анги,Хичээл,Буруу хариулт 1,Буруу хариулт 2,Буруу хариулт 3,TEXT
"Буудлагын хоёр тамирчин бай буудав. I тамирчин байг онох магадлал 0.8, II тамирчин байг онох магадлал 0.7 бол хоёулаа байг онох магадлалыг ол.",,0.56,9,Математик,0.15,0,0.06,Магадлал
"Буудлагын хоёр тамирчин бай буудав. I тамирчин байг онох магадлал 0.6, II тамирчин байг онох магадлал 0.7 бол хоёулаа байг онохгүй магадлалыг ол.",,0.12,9,Математик,0.1,0.4,0.006,Магадлал
"Дадлагын хоёр тамирчин бай буудав. I тамирчин байг онох магадлал 0.8, II тамирчин байг онох магадлал 0.7 бол хоёулаа байг онохгүй магадлалыг ол.",,0.06,9,Математик,0.15,0.06,0.2,Магадлал
Хадгаламж зээлийн хоршоонд 2800000 төгрөгийг жилийн 16.5%-ийн хүүтэй хадгалуулсан бол жилийн дараа хэдэн төгрөгтэй болох вэ?,,3262000,9,Математик,462000,3162000,3276000,Тоо тоолол
Хадгаламж зээлийн хоршоонд 3200000 төгрөгийг жилийн 16.5%-ийн хүүтэй хадгалуулсан бол жилийн дараа хэдэн төгрөгтэй болох вэ?,,3728000,9,Математик,528000,3718000,3744000,Тоо тоолол
Хамар 2 өнцгийн харьцаа 3:2 бол эдгээр өнцгийн хэмжээг ол.,,108; 72,9,Математик,105; 75,135; 45,144; 36,Тоо тоолол
Хамар 2 өнцгийн харьцаа 8:7 бол эдгээр өнцгийн хэмжээг ол.,,96; 84,9,Математик,100; 80,120; 60,92; 88,Тоо тоолол
0.5 тоог процентоор илэрхийлсэн нь аль вэ?,,50%,9,Математик,5%,500%,20%,Тоо тоолол
Сурагч номын  1/6 хэсгийг уншжээ. Уншаагүй хуудасны тоо 60 бол ном хэдэн хуудастай вэ?,,72,9,Математик,20,60,66,Тоо тоолол
Аль хос нь 1; 4; 7; 10… дарааллын дараагийн 2 гишүүн болох вэ?,,13; 16,9,Математик,12; 15,13; 18,14; 17,Тоо тоолол
3;5;7;9… дарааллын 50 дугаар гишүүнийг олоорой.,,101,9,Математик,102,100,104,Тоо тоолол
Аль хос тоо нь 3; 8; 13; 18… дарааллын дараагийн 2 гишүүн болох вэ?,,23; 28,9,Математик,22; 27,21; 26,24; 29,Тоо тоолол
1;4;7;10… дарааллын 50 дугаар гишүүнийг олоорой.,,148,9,Математик,151,150,149,Тоо тоолол
"300м замын эхэнд улаан болон цэнхэр дарцаг хатгаад цаашид 60см тутамд улаан дарцаг, 40см тутамд цэнхэр дарцаг хатгажээ. Нийт хэдэн цэг дээр улаан болон цэнхэр дарцгууд хамт байх вэ?",,251,9,Математик,100,120,250,Тоо тоолол
Дараалсан таван тэгш натурал тооны нийлбэр 390 бол хамгийн их тоог олоорой.,,82,9,Математик,78,80,84,Тоо тоолол
Дараалсан таван сондгой натурал тооны нийлбэр 405 бол хамгийн их тоог олоорой.,,85,9,Математик,75,77,79,Тоо тоолол
"Хүү 1 настай, аав нь 39 настай. Хэдэн жилийн дараа аав нь хүүгээсээ 3 дахин их настай болох вэ?",,18,9,Математик,15,17,19,Тоо тоолол
"Хүү 6 настай, аав нь 39 настай. Хэдэн жилийн дараа аав нь хүүгээсээ 2 дахин их настай болох вэ?",,27,9,Математик,25,28,33,Тоо тоолол
Хоёр оронтой тоон дээр 162-ыг нэмэв. Нийлбэр нь уг хоёр оронтой тооны цифрүүдийн байрыг солиод дунд нь 0 цифр бичихэд үүсэх гурван оронтой тоо бол энэ тооны цифрүүдийн нийлбэрийг олоорой.,,12,9,Математик,15,6,5,Тоо тоолол
Хоёр оронтой тоон дээр 243-ыг нэмэв. Нийлбэр нь уг хоёр оронтой тооны цифрүүдийн байрыг солиод дунд нь 0 цифр бичихэд үүсэх гурван оронтой тоо бол энэ тооны цифрүүдийн нийлбэрийг олоорой.,,9,9,Математик,12,13,7,Тоо тоолол
Аль хувилбар дахь гурван тоо гурвуулаа 3; 6; 11; 18; … дарааллын гишүүн болох вэ?,,83; 102; 123,9,Математик,83; 86; 91,86; 91; 908,83; 102; 108,Тоо тоолол
1; 7; 17; 31; … дарааллын 6 дугаар гишүүн аль вэ?,,71,9,Математик,57,51,67,
Ямар нөхцөлд хөшүүргээр хүнд ачааг өргөхөд хялбар байх вэ?,,"ачааг тулгуурт 
ойртуулах,
 дарах цэгийг 
тулгуураас холдуулах",5,хүн байгаль,"ачааг тулгуураас 
холдуулах, 
дарах цэгийг 
тулгуураас холдуулах","ачааг тулгуураас
 холдуулах, 
дарах цэгийг 
тулгуурт ойртуулах","ачааг тулгуурт
 ойртуулах, 
дарах цэгийг
 тулгуурт ойртуулах",
Хөшүүргийн тулах цэгээс хүч үйлчлэх цэг хүртэлх зайг юу гэж нэрлэдэг вэ?,,мөр,5,хүн байгаль,тулах цэг,үйлчлэлийн цэг, хөшүүрэг,
Хөшүүргийн тэнцвэрийн нөхцөл ашиглан тооцоолол хийсэн хүснэгтэд өгөгдсөн мэдээллээс алдааг олно уу,https://ibb.co/0jjQS2hd,30 ба 3,5,хүн байгаль,15 ба 4,60 ба 1, 20 ба 3,
Дараах өгөгдлөөс модонд зоогдсон хадаасыг ХАМГИЙН бага хүч зарцуулж сугалах боломжтой багажийг сонгоно уу.,,"урт иштэй хадаас 
сугалагч",5,хүн байгаль,жижиг бахь,том бахь,"богино иштэй 
хадаас сугалагч",
Хөшүүргийн мөрийг 2 см-ээр багасгавал дарах хүч хэрхэн өөрчлөгдөх вэ?,,2-оор ихэснэ,5,хүн байгаль,2 дахин ихсэнэ,2 дахин багасна,2-оор багасна,
Зурагт өгөгдсөн хөшүүргийг тэнцвэрт оруулахыг тулд хичнээн ачааг тулах цэгийн аль талд нэмэх шаардлагатай вэ?,https://ibb.co/qQdf1bt,"зүүн мөрөнд 1 ачаа
 нэмэх",5,хүн байгаль,баруун мөрөнд 1 ачаа нэмэх,"баруун мөрөнд 2 ачаа
 нэмэх","зүүн мөрөнд 2 ачаа
 нэмэх",
Аль хэрэгсэл нь хөшүүргийн төрөлд хамаарах вэ?,,https://ibb.co/FLVx9CzL,5,хүн байгаль,https://ibb.co/dJjG5w69,https://ibb.co/wCH2pwz,https://ibb.co/bgFNhqbn,
Зурагт өгөгдсөн хөшүүргийг тэнцвэргүй байгаа шалтгааныг сонгоно уу.,,3*1>1*2,5,хүн байгаль,1*1<3*2,1*1>3*2,зөв хариу алга,
Хөшүүргийн тэнцвэрийн нөхцөл ашиглан тооцоолол хийсэн хүснэгтэд өгөгдсөн мэдээллийн алдааг хэрхэн засах вэ?,https://ibb.co/Gfz1nVtj,"30 ба 3 буруу
 30 ба 2 болгох",5,хүн байгаль,"15 ба 4 буруу 
30 ба 2 болгох"," 60 ба 1 буруу
 30 ба 2 болгох","20 ба 4 буруу
30 ба 2 болгох",
 Дараах өгөгдлөөс модонд зоогдсон хадаасыг ХАМГИЙН их хүч зарцуулж сугалах багажийг сонгоно уу.,,"A. богино иштэй
 хадаас сугалагч",5,хүн байгаль,жижиг бахь,том бахь,урт иштэй хадаас сугалагч,
Хөшүүргийн мөрийг 2 см-ээр ихэсгэвэл дарах хүч хэрхэн өөрчлөгдөх вэ?,,2-оор багасна,5,хүн байгаль,2 дахин ихсэнэ,2 дахин багасна,2-оор ихэснэ,
Ачааны тоог өөрчлөхгүйгээр зурагт өгөгдсөн хөшүүргийг тэнцвэрт оруулах боломжтой юу?,,"болно, баруун талын
 ачааг 1-ээр баруун тийш",5,хүн байгаль,"болно, зүүн талын ачааг
 1-ээр зүүн тийш","болно, зүүн талын 1 ачааг
 баруун талын ачаан 
дээр нэмж өлгөх",болохгүй.,
"Газрын зураг ашиглаад Монгол улс дэлхийн аль хагаст байрлаж байгааг
 тодорхойлно уу.",https://ibb.co/wrrbPLcF,"зүүн, хойд хагас",5,хүн байгаль,"баруун, өмнөд хагас","баруун, хойд хагас","зүүн, өмнөд хагас",
"Газрын зураг ашиглаад дэлхийн баруун, хойд болон өмнөд хагаст байрлах
 тивийн нэрийг сонгоно уу.",https://ibb.co/wrrbPLcF,Америк,5,хүн байгаль,Австрали,Ази,Африк,
"Шонгийн сүүдрийг ажиглаад өдрийн аль үе болж байгааг тогтоож 
зөв хариултыг сонгоорой.",https://ibb.co/4nnvp9Jt,өглөө,5,хүн байгаль,өдөр,орой,үдэш,
"Дэлхийн газрын зургийг сайтар ажиглаарай. Монгол улс Ази тивд оршдогийг 
бид мэднэ.Тэгвэл Монгол улс дэлхийн бөмбөрцгийн аль хагаст оршиж байна вэ?",https://ibb.co/Gv9fYPpd,зүүн хойд хагаст,5,хүн байгаль,баруун хойд хагаст,баруун өмнөд хагаст,зүүн өмнөд хагаст,
АНУ дэлхийн аль хэсэгт оршдог вэ?,https://ibb.co/xt4DRtMB,баруун хойд хагаст,5,хүн байгаль,зүүн хойд хагаст,баруун өмнөд хагаст,"зүүн хойд, өмнөд",
Сар хэрхэн гэрэлтэж харагддаг вэ?,, нарны гэрэл туссанаар,5,хүн байгаль,оддын гэрэл туссанаар,сар өөрөө гэрэлтдэг,зөв хариу алга,
Нартай адил өөрөөсөө гэрэл цацаргадаг галт бөмбөлгийг юу гэж нэрлэдэг вэ?,,од,5,хүн байгаль,дэлхий,Нар,Сар,
Хэзээ хамгийн богино сүүдэр үүсдэг вэ?,,үд дунд,5,хүн байгаль,орой нар жаргахад,өглөө нар жаргахад,үдэш,
"Сарны харагдах байдлын зургийг ажиглаад өгөгдсөн дарааллаар байрлах 
зөв зургийг сонгоорой. (дэлхий-сар-нар)",,https://ibb.co/x8DzQMXx,5,хүн байгаль,https://ibb.co/jkv7BJXB,https://ibb.co/k2Sbq6ZF,https://ibb.co/v6fPJhHv,
3200C хүртэлх температуртай од ямар өнгөтэй харагдах вэ?,,Улаан,5,хүн байгаль,шар,цагаан,цэнхэр,
3200C хүртэлх температуртай од ямар өнгөтэй харагдах вэ?,https://ibb.co/4RB1BVvT,"биеийн шугаман 
хэмжээ өөр",5,хүн байгаль,гэрэл туссан өнцөг ижил,гэрэл туссан өнцөг ижил,гэрэл туссан өнцөг ижил,
,,,,,,,,
Алтан гадас одыг харуулсан зургийн дугаарыг дугуйлна уу.,https://ibb.co/MkLHyRsW,3,5,хүн байгаль,1,2,4,
Дараах дүгнэлтүүдийн зөвийг дугуйлаарай.,,"Дэлхий тэнхлэгээ 
баруунаас зүүн рүү 24 цагт 
нэг бүтэн эргэхэд нэг хоног 
болно.",5,хүн байгаль,"Дэлхий тэнхлэгээ 
зүүнээс баруун руу 
24 цагт нэг бүтэн
 эргэхэд нэг хоног болно.","Дэлхий тэнхлэгээ 
нэг бүтэн эргэхэд 
нэг хоног болно.","Дэлхий тэнхлэгээ
 24 цаг эргэхэд
 нэг хоног болно.",
"Сарны харагдах байдлын зургийг ажиглаад нар, сар, дэлхийн байрлах зөв
 зургийг сонгоорой.",https://ibb.co/ynxJdTnM,https://ibb.co/tTGVNV5s,5,хүн байгаль,https://ibb.co/TDsQW6Tg,https://ibb.co/zV2zxbZw,https://ibb.co/2RzwPwm,
Сарны байрлал яагаад өөрчлөгдсөн бэ?,https://ibb.co/wNJJBPVP,"Дэлхий тэнхлэгээ 
эргэдэгтэй холбоотой.",5,хүн байгаль,"Дэлхий тэнхлэгээ 
эргэдэгтэй холбоотой.","Дэлхий тэнхлэгээ 
эргэдэгтэй холбоотой.","Дэлхий тэнхлэгээ 
эргэдэгтэй холбоотой.",
Сарны хэлбэр яагаад өөрчлөгддөг вэ?,,"Дэлхий тэнхлэгээ
 эргэдэгтэй холбоотой.",5,хүн байгаль,"Сар дэлхийг тойрдогтой 
холбоотой.","Дэлхий нарыг
 тойрдогтой холбоотой.","Сар нарыг
 тойрдогтой холбоотой.",
"Цэгийн оронд тохирох үгийг сонгоорой. Дэлхийн гадарга дээр оршиж 
байгаа тухайн цэгийн голдож ба зэргэдийг газарзүйн ..................... гэж нэрлэнэ.",,солбилцол,5,хүн байгаль,огтлолцол,байршил,масштаб,
Асуултын тэмдгийн оронд тохирох үгийг сонгоно уу.,https://ibb.co/7NZYgDLW,өмнөд туйл,5,хүн байгаль,голдож,зэргэд,хойд туйл,
My brother ______ well how to play with ankle bones.,,knows,12,Англи хэл,is knowing ,know,.is know,
"By the end of this year, I ______ as a teacher for 30 years.",,.will have been working,12,Англи хэл,will work,will be working,.will have worked,
Teachers are always very patient ______ students’ noise. ,,With,12,Англи хэл,Of,To,Or,
See if you can __________ your father to give you a lift to the cinema.,,Get round,12,Англи хэл,Get through,Get up,Get out,
WWF stands for World Wide ________for Nature. ,,Fund,12,Англи хэл,Foundation,Founder,Form,
. Our trip to Egypt was ___________.,,Adventuruous,12,Англи хэл,Adventurer,adventure,adventures,
132. We have no money to buy a ________ for the train to London.,,Ticket,12,Англи хэл,Price,Seat,Place,
"9.A(5, 8) , B(6, 6) цэгүүдийг дайрсан шулууны налалт(өнцгийн коэффициент)-ыг ол.",,k=-2,12,Математик,2,-0.5,0.5,Алгебр
 Өгөгдсөн Функцийн урвууг ол. ,https://ibb.co/XrpJymBD,,12,Математик,,,,Алгебр
Өгөгдсөн функцийн тодорхойлогдох мужийг олоорой. ,https://ibb.co/3mN3F75Y,,12,Математик,,,,Алгебр
Өгсөн илэрхийллийн утгыг олоорой. ,https://ibb.co/dsk3yZNx,9,12,Математик,3,-9,27,Алгебр
Өгөгдсөн Функцийн утгын мужийг олоорой. ,https://ibb.co/DyNHspj,,12,Математик,,,,Алгебр
Дараах 542 778 тоог мянгатаар тоймлоорой. ,,543000,5,Математик,540000,542000,500000,Тоо тоолол
16 × 37 үржвэр нь 14 × 37 үржвэрээс хэдээр их вэ?,,74,5,Математик,2,39,50,Тоо тоолол
"5 найз үг үсэглэх тоглоом тоглов. Тэд 44, 51, 20, 17, 33 үг үсэглэжээ. Хүүхдүүд
дунджаар хэдэн үг үсэглэсэн бэ?",,33,5,Математик,55,30,82.5,Тоо тоолол
. Агаарын хэм өглөөнийхөөс 8 хэмээр дулаарч өдөр 5 хэм болов. Өглөө агаарын хэм хэд байсан бэ? Тоон шулуун ашиглан олоорой.,https://www.imghippo.com/i/YEC3732i.png,-3,5,Математик,13,3,8,Тоо тоолол
Дэлгүүрээс 12 дэвтэр авахад 6000 төгрөг төлнө. Тэгвэл 20 дэвтэр авахад хэдэн төгрөг төлөх вэ?,,5000,5,Математик,40000,500,400,Асуудал шийдвэрлэх
Саран ням гарагт амардаг бол хоёрдугаар сард хэдэн өдөр ажиллах вэ?,https://www.imghippo.com/i/mGh7359KFE.png,25,5,Математик,29,30,31,Өгөгдэлтэй ажиллах
Зөв зургаан өнцөгтийн периметр нь 48 дм бол талын уртын хэмжээг олж мм-ээр илэрхийлээрэй.,,80мм,5,Математик,120мм,1200мм,800мм,Геометр
"Ах, дүү хоёр орой бүр 15 минут үлгэр уншиж, ярилцдаг. Тэд нэг цагийн хэдэн процентийг үлгэр уншиж, ярилцахад зарцуулдаг вэ?",,75%,5,Математик,15%,25%,45%,Асуудал шийдвэрлэх
"Жолооч 7 цаг 45 минутад гэрээсээ гарч, 8 цаг 25 минутад ажилдаа ирсэн бол гэрээс ажил хүрэхдээ ямар хугацаа зарцуулсан бэ?",,40 мин,5,Математик,60мин,35мин,55мин,Хэмжигдэхүүн
"Гурвалжны өнцгүүд 32°, 28° бол мэдэгдэхгүй байгаа өнцгийн хэмжээг олоод, тохирох хариултыг сонгоорой.",,120,5,Математик,100,110,130,Геометр
Зөв зургаан өнцөгтийн нэг талын урт 4 м. Энэ 6 өнцөгтийн периметртэй тэнцүү периметр бүхий квадратын талбай ямар хэмжээтэй байх вэ?,,36 м.кв,5,Математик,24м.кв,16 м.кв,576 м.кв,Геометр
Хоёр тооны ерөнхий хуваагчийг Эйлер – Веннийн диаграммаар үзүүлэв. Хоёр тооны ерөнхий хуваагчийг зөв олсон хэсгийг сонгоорой. ,https://www.imghippo.com/i/ZZm2404blQ.png,2.4.1,5,Математик,2.10.5,10.2.1,16.2.4,Тоо тоолол
Ялгаврын утгыг олоорой.,https://www.imghippo.com/i/XCDO8580Qpc.png,7/15,5,Математик,3/15,2/3,3/8,Тоо тоолол
Дараах тоонуудаас 3-т хуваагдах тоонуудыг ялгаж дугуйлаарай.,,2643,5,Математик,7084,314,2002,Тоо тоолол
Хоёр тооны нийлбэр 16 780. Нэг тоо нь нөгөө тооноос 4 дахин их бол тоо тус бүрийг олоорой.,,"3356, 13424",5,Математик,"3350, 13424","3356, 13420","4072, 10600",Тоо тоолол
Будагдсан хэсгийн талбайг олоорой.,https://www.imghippo.com/i/LIO9429eCE.png,1125м.кв,5,Математик,1500м.кв,750м.кв,375м.кв,Хэмжигдэхүүн
Нэгжид шилжүүлээрэй. 65 цаг= .... хоног ..... цаг,,2 хоног 17 цаг,5,Математик,2 хоног 5 цаг,3 хон ,1 хон 17цаг,Хэмжигдэхүүн
(7046 - х)+109=3062 тэгшитгэлийн утга хэдтэй тэнцүү вэ?,,4093,5,Математик,4083,9999,3875,Тоо тоолол
Арал дээрх  майхны байршлыг тодорхойлоорой. ,https://www.imghippo.com/i/Ki3237J.png,"6, 9",5,Математик,"9, 6","7,9","6, 10",Өгөгдэлтэй ажиллах
